msgid,groupid,arrival
113195134,253502,2026-06-22 14:29:30.000000
113195134,253505,2026-06-22 14:29:30.000000
113195134,253508,2026-06-22 14:29:30.000000
113195134,386072,2026-06-22 14:29:30.000000
113195134,395398,2026-06-22 14:29:30.000000
113195134,407623,2026-06-22 14:29:30.000000
113195134,435173,2026-06-22 14:29:30.000000
113195134,507940,2026-06-22 14:29:30.000000
113195134,515432,2026-06-22 14:29:30.000000
113195680,21350,2026-06-22 14:29:38.000000
113195680,21449,2026-06-22 14:29:38.000000
113195680,21450,2026-06-22 14:29:38.000000
113195680,21454,2026-06-22 14:29:38.000000
113195680,21456,2026-06-22 14:29:38.000000
113195680,21470,2026-06-22 14:29:38.000000
113195680,21486,2026-06-22 14:29:38.000000
113195680,21492,2026-06-22 14:29:38.000000
113195680,21632,2026-06-22 14:29:38.000000
113195680,21662,2026-06-22 14:29:38.000000
113195680,21676,2026-06-22 14:29:38.000000
113195680,21682,2026-06-22 14:29:38.000000
113195680,45523,2026-06-22 14:29:38.000000
113195680,126719,2026-06-22 14:29:38.000000
113195680,126734,2026-06-22 14:29:38.000000
113195680,217446,2026-06-22 14:29:38.000000
113195680,253433,2026-06-22 14:29:38.000000
113195680,253463,2026-06-22 14:29:38.000000
113195680,253502,2026-06-22 14:29:38.000000
113195680,253505,2026-06-22 14:29:38.000000
113195680,253508,2026-06-22 14:29:38.000000
113195680,386072,2026-06-22 14:29:38.000000
113195680,395398,2026-06-22 14:29:38.000000
113195680,407623,2026-06-22 14:29:38.000000
113195680,435173,2026-06-22 14:29:38.000000
113195680,507940,2026-06-22 14:29:38.000000
113195680,515432,2026-06-22 14:29:38.000000
113352516,21277,2026-06-22 14:29:51.000000
113352516,21283,2026-06-22 14:29:51.000000
113352516,21311,2026-06-22 14:29:51.000000
113352516,21333,2026-06-22 14:29:51.000000
113352516,21350,2026-06-22 14:29:51.000000
113352516,21358,2026-06-22 14:29:51.000000
113352516,21406,2026-06-22 14:29:51.000000
113352516,21449,2026-06-22 14:29:51.000000
113352516,21450,2026-06-22 14:29:51.000000
113352516,21470,2026-06-22 14:29:51.000000
113352516,21486,2026-06-22 14:29:51.000000
113352516,21492,2026-06-22 14:29:51.000000
113352516,21526,2026-06-22 14:29:51.000000
113352516,21662,2026-06-22 14:29:51.000000
113352516,45523,2026-06-22 14:29:51.000000
