lat,lng,conn
51.391440,-0.041431,76
51.437440,0.035061,75
51.432975,0.045266,75
51.429567,0.050200,74
51.428599,0.041481,73
51.427045,0.049058,73
51.424211,0.054638,72
51.424909,0.045611,72
51.368472,0.119341,66
51.379710,0.114129,74
51.376399,0.104499,77
51.375908,0.119377,69
51.373506,0.096700,80
51.375412,0.109740,74
51.373573,0.116501,70
51.368986,0.105367,72
51.365702,0.099507,71
51.362662,0.107738,67
51.413613,-0.059053,84
51.413740,-0.040960,83
51.412593,-0.055774,87
51.413029,-0.050684,87
51.412745,-0.061335,84
51.408938,-0.055261,85
51.420002,-0.055080,86
51.421331,-0.050083,84
51.420338,-0.041317,83
51.416424,-0.049558,87
51.416479,-0.056695,87
51.394288,0.071245,75
51.383231,0.085336,71
51.384801,0.065560,76
51.387609,0.083010,74
51.386090,0.071096,77
51.379609,0.095537,77
51.381871,0.074987,76
51.377337,0.089200,74
51.392606,0.083382,70
51.424815,0.018695,77
51.419372,0.033218,64
51.419926,0.020295,80
51.415615,0.026223,80
51.414662,0.011848,79
51.412238,0.019551,81
51.411826,0.013407,80
51.408885,0.023781,82
51.392276,-0.007010,68
51.392813,0.005183,77
51.402185,-0.000725,76
51.398827,0.011140,80
51.397017,-0.009925,72
51.398539,0.003714,76
51.382827,-0.011407,74
51.388591,-0.002892,69
51.383892,0.000348,72
51.376970,-0.018342,80
51.380139,-0.006009,72
51.381375,-0.022137,78
51.375786,-0.003020,74
51.371387,-0.021766,73
51.369046,-0.012904,72
51.373519,-0.014080,78
51.546984,-0.167184,91
51.547290,-0.161840,93
51.545581,-0.170770,92
51.545208,-0.162885,92
51.543309,-0.164008,92
51.543171,-0.169248,92
51.549281,-0.168797,92
51.549464,-0.165052,93
51.520073,-0.131536,97
51.521877,-0.138671,98
51.524657,-0.124799,97
51.521000,-0.126235,96
51.542863,-0.141896,96
51.541718,-0.158868,93
51.542670,-0.148900,94
51.540971,-0.154612,93
51.538711,-0.156497,92
51.539734,-0.139096,97
51.539041,-0.148970,94
51.539191,-0.143781,97
51.545627,-0.138728,95
51.542911,-0.136750,95
51.542272,-0.128047,91
51.547100,-0.129961,94
51.547469,-0.136092,94
51.555171,-0.202467,86
51.553581,-0.209354,88
51.552457,-0.200224,88
51.552950,-0.193373,89
51.550728,-0.204892,88
51.549053,-0.201575,88
51.554643,-0.194917,88
51.555991,-0.191100,87
51.553630,-0.179194,90
51.553473,-0.184694,88
51.550618,-0.178515,91
51.548355,-0.173882,92
51.547182,-0.177206,94
51.559905,-0.191741,84
51.557903,-0.184641,85
51.554855,-0.154437,91
51.554570,-0.162238,93
51.554041,-0.157812,92
51.552419,-0.150299,92
51.552013,-0.155842,93
51.550668,-0.152334,92
51.551040,-0.160706,92
51.560000,-0.166753,89
51.558638,-0.172451,91
51.556575,-0.176440,93
51.555335,-0.170031,91
51.552345,-0.172622,92
51.552174,-0.166754,93
51.564408,-0.179129,87
51.547631,-0.152465,94
51.548404,-0.149337,93
51.546922,-0.155432,93
51.548946,-0.157668,93
51.544474,-0.148960,95
51.545419,-0.152583,94
51.544312,-0.157091,94
51.563776,-0.142093,92
51.564113,-0.145419,90
51.561957,-0.149737,90
51.559179,-0.145929,91
51.558603,-0.142321,93
51.559589,-0.155794,92
51.568041,-0.158581,86
51.518368,-0.117068,97
51.521578,-0.119034,96
51.520743,-0.108995,97
51.519869,-0.110724,97
51.516579,-0.123104,97
51.515285,-0.127414,97
51.523123,-0.115196,96
51.553934,-0.139408,95
51.549111,-0.143042,95
51.552216,-0.138361,94
51.552182,-0.135026,94
51.550201,-0.136887,95
51.549735,-0.131820,94
51.546395,-0.143851,95
51.553818,-0.143501,94
51.537849,-0.187111,93
51.537193,-0.190379,94
51.543591,-0.197873,93
51.543150,-0.194091,93
51.540244,-0.192178,94
51.539940,-0.182025,92
51.540210,-0.185883,92
51.525312,-0.121093,97
51.529360,-0.118684,97
51.528872,-0.121665,97
51.527661,-0.123284,98
51.527940,-0.126752,98
51.526133,-0.126812,97
51.527360,-0.142604,96
51.529104,-0.145935,96
51.534565,-0.139775,98
51.535287,-0.146221,96
51.530834,-0.142561,94
51.528977,-0.142111,96
51.533881,-0.134905,97
51.532076,-0.136069,97
51.531009,-0.133353,97
51.529931,-0.128874,98
51.541276,-0.133790,92
51.537718,-0.133253,95
51.536567,-0.137589,96
51.544965,-0.179844,93
51.541687,-0.177639,94
51.542973,-0.182795,92
51.541093,-0.173339,94
51.545720,-0.185382,90
51.543173,-0.190136,92
51.542415,-0.186287,89
51.539266,-0.165333,90
51.544634,-0.193334,92
51.551251,-0.189173,90
51.550296,-0.193821,89
51.550570,-0.196867,88
51.548939,-0.184824,90
51.546911,-0.191945,90
51.547428,-0.199075,88
51.377156,-0.089252,89
51.381180,-0.088208,88
51.377700,-0.076085,83
51.377016,-0.079943,84
51.377443,-0.084256,86
51.386274,-0.081913,80
51.384462,-0.075353,83
51.383716,-0.081195,82
51.381144,-0.076495,84
51.381725,-0.083519,85
51.379869,-0.060493,79
51.377585,-0.070637,81
51.380250,-0.066229,81
51.389326,-0.046439,73
51.388627,-0.059727,80
51.384677,-0.048910,71
51.385266,-0.060484,79
51.382787,-0.069611,84
51.402376,-0.110332,81
51.400097,-0.115131,84
51.399437,-0.109257,82
51.397632,-0.107452,82
51.399595,-0.104526,84
51.397127,-0.112005,83
51.397035,-0.101311,85
51.394833,-0.096906,85
51.394346,-0.106845,82
51.393747,-0.101723,82
51.391297,-0.104709,83
51.383942,-0.111686,87
51.383168,-0.124975,78
51.387247,-0.127917,78
51.383262,-0.118336,83
51.384834,-0.114179,84
51.378322,-0.119683,84
51.382181,-0.109434,89
51.382244,-0.102640,90
51.379371,-0.105938,90
51.314115,-0.132367,70
51.318575,-0.125252,71
51.305134,-0.139170,58
51.308371,-0.114247,64
51.310163,-0.127809,67
51.304771,-0.120441,69
51.296513,-0.122688,64
51.299310,-0.106824,60
51.320010,-0.137476,78
51.320571,-0.146256,75
51.320388,-0.154302,67
51.316922,-0.156086,68
51.309921,-0.150063,67
51.332798,-0.140487,66
51.335660,-0.125092,76
51.329534,-0.131178,72
51.325285,-0.141528,75
51.348787,-0.082396,67
51.349930,-0.101486,79
51.350795,-0.092681,77
51.364100,-0.089612,83
51.359445,-0.079917,76
51.360131,-0.095945,85
51.360415,-0.089754,79
51.354426,-0.087075,75
51.356376,-0.095667,81
51.353862,-0.100116,81
51.371875,-0.103312,90
51.368526,-0.086524,80
51.372229,-0.082911,83
51.365911,-0.095638,88
51.369161,-0.073143,76
51.373955,-0.084693,86
51.356925,-0.022435,67
51.358426,-0.017798,64
51.349609,-0.013265,66
51.353447,-0.023512,71
51.354386,-0.014678,66
51.350700,-0.015770,67
51.349291,-0.020586,70
51.346726,-0.038248,67
51.346283,-0.044565,71
51.340780,-0.027985,58
51.350728,-0.048142,73
51.371049,-0.058653,75
51.371987,-0.047154,78
51.360966,-0.044758,68
51.353820,-0.030224,71
51.349240,-0.052416,72
